,Produto,Preço,Categoria
0,Armário de cozinha,"R$ 450,00",Móveis
1,Televisão 43 polegadas,"R$ 1650,00",Eletrodomésticos
2,Televisão 50 polegadas,"R$ 3200,00",Eletrodomésticos
3,Televisão 55 polegadas,"R$ 3990,00",Eletrodomésticos
4,Mesa de madeira com 6 cadeiras,"R$ 850,00",Móveis
5,Geladeira duplex,"R$ 3500,00",Eletrodomésticos
6,Televisão 60 polegadas,"R$ 4500,00",Eletrodomésticos
7,Guarda-roupas 6 portas,"R$ 750,00",Móveis
8,Guarda-roupas 8 portas,"R$ 850,00",Móveis
9,Mesa com 4 cadeiras,"R$ 600,00",Móveis
11,Cama box Casal,"R$ 1500,00",Móveis
12,Cama Box Solteiro,"R$ 1100,00",Móveis
13,Rack para Televisão até 50 polegadas,"R$ 650,00",Móveis
14,Sofá 2 e 3 lugares,"R$ 1250,00",Móveis
 ,Notebook,"R$ 2600,00",Eletroportáteis
 ,Celular 5G,"R$ 1800,00",Eletropotáteis
 ,Liquidificador,"R$ 180,00",Eletrodomésticos
